sura,words,ayas,sura.name.ar,sura.name.en
1,29,7,الفَاتِحَة,The Opening
2,6144,286,البَقَرَة,The Cow
3,3505,200,آل عِمرَان,The Family Of Imran
4,3767,176,النِّسَاء,Women
5,2841,120,المَائدة,The Food
6,3060,165,الأنعَام,The Cattle
7,3345,206,الأعرَاف,The Elevated Places
8,1246,75,الأنفَال,The Spoils Of War
9,2505,129,التوبَة,Repentance
10,1843,109,يُونس,Jonah
11,1950,123,هُود,Hud
12,1799,111,يُوسُف,Joseph
13,857,43,الرَّعْد,The Thunder
14,834,52,إبراهِيم,Abraham
15,661,99,الحِجْر,The Rock
16,1848,128,النَّحْل,The Bee
17,1562,111,الإسْرَاء,The Night Journey
18,1587,110,الكهْف,The Cave
19,975,98,مَريَم,Mary
20,1357,135,طه,Ta Ha
21,1178,112,الأنبيَاء,The Prophets
22,1283,78,الحَج,The Pilgrimage
23,1056,118,المُؤمنون,The Believers
24,1323,64,النُّور,The Light
25,900,77,الفُرْقان,The Criterion
26,1324,227,الشُّعَرَاء,The Poets
27,1163,93,النَّمْل,The Ant
28,1442,88,القَصَص,The Narrative
29,982,69,العَنكبوت,The Spider
30,821,60,الرُّوم,The Romans
31,554,34,لقمَان,Lukman
32,376,30,السَّجدَة,The Adoration
33,1307,73,الأحزَاب,The Allies
34,888,54,سَبَأ,Sheba
35,782,45,فَاطِر,The Creator
36,734,83,يس,Ya Sin
37,869,182,الصَّافات,The Rangers
38,739,88,ص,Sad
39,1181,75,الزُّمَر,The Companies
40,1230,85,غَافِر,The Forgiving One
41,798,54,فُصِّلَتْ,Revelations Well Expounded
42,864,53,الشُّورَى,The Counsel
43,840,89,الزُّخْرُف,The Embellishment
44,350,59,الدخَان,The Evident Smoke
45,492,37,الجَاثيَة,The Kneeling
46,649,35,الأحْقاف,The Sandhills
47,546,38,محَمَّد,Muhammad
48,564,29,الفَتْح,The Victory
49,357,18,الحُجرَات,The Chambers
50,377,45,ق,Qaf
51,364,60,الذَّاريَات,The Scatterers
52,316,49,الطُّور,The Mountain
53,364,62,النَّجْم,The Star
54,346,55,القَمَر,The Moon
55,356,78,الرَّحمن,The Merciful
56,383,96,الوَاقِعَة,That Which is Coming
57,579,29,الحَديد,The Iron
58,479,22,المجَادلة,She Who Pleaded
59,451,24,الحَشر,The Exile
60,356,13,المُمتَحنَة,She Who is Tested
61,230,14,الصَّف,The Ranks
62,181,11,الجُمُعَة,The Day of Congregation
63,185,11,المنَافِقون,The Hypocrites
64,246,18,التغَابُن,The Cheating
65,293,12,الطلَاق,The Divorce
66,258,12,التحْريم,The Prohibition
67,337,30,المُلْك,The Kingdom
68,305,52,القَلَم,The Pen
69,264,52,الحَاقَّة,The Inevitable
70,221,44,المعَارج,The Ladders
71,231,28,نُوح,Noah
72,290,28,الجِن,The Jinn
73,204,20,المُزَّمِّل,The Mantled One
74,260,56,المُدَّثِّر,The Clothed One
75,168,40,القِيَامَة,The Resurrection
76,247,31,الإنسَان,The Man
77,185,50,المُرسَلات,The Emissaries
78,178,40,النَّبَأ,The Tidings
79,183,46,النّازعَات,Those Who Pull Out
80,137,42,عَبَس,He Frowned
81,108,29,التَّكوير,The Cessation
82,85,19,الانفِطار,The Cleaving Asunder
83,173,36,المطفِّفِين,The Defrauders
84,112,25,الانْشِقَاق,The Rending
85,113,22,البرُوج,the Constellations
86,65,17,الطَّارِق,The Night-Comer
87,76,19,الأَعْلى,The Most High
88,96,26,الغَاشِية,The Overwhelming Calamity
89,143,30,الفَجْر,The Dawn
90,86,20,البَلَد,The City
91,58,15,الشَّمْس,The Sun
92,75,21,الليْل,The Night
93,44,11,الضُّحَى,The Early Hours
94,31,8,الشَّرْح,The Expansion
95,38,8,التِّين,The Fig
96,76,19,العَلَق,The Clot
97,34,5,القَدْر,The Majesty
98,98,8,البَينَة,The Proof
99,40,8,الزلزَلة,The Shaking
100,44,11,العَادِيات,The Assaulters
101,40,11,القَارِعة,The Terrible Calamity
102,32,8,التَّكَاثر,Worldly Gain
103,18,3,العَصْر,Time
104,37,9,الهُمَزَة,The Slanderer
105,27,5,الفِيل,The Elephant
106,21,4,قُرَيْش,The Quraish
107,29,7,المَاعُون,The Daily Necessaries
108,14,3,الكَوْثَر,Abundance
109,31,6,الكَافِرُون,The Unbelievers
110,23,3,النَّصر,The Help
111,27,5,المَسَد,The Palm Fibre
112,19,4,الإخْلَاص,The Unity
113,27,5,الفَلَق,The Daybreak
114,24,6,النَّاس,The Men
